Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"3v3","3v3","LED_0805_2012Metric",130.147923,-117.623423,-90.000000,top
"5V0","5v","LED_0805_2012Metric",132.179923,-117.618823,-90.000000,top
"C1","18pF","C_0805_2012Metric",196.088000,-79.527400,0.000000,top
"C2","18pF","C_0805_2012Metric",196.088000,-77.571600,0.000000,top
"C3","100nF","C_0603_1608Metric",88.898323,-75.919023,-90.000000,top
"C4","100nF","C_0603_1608Metric",134.465923,-75.309423,-90.000000,top
"C5","100nF","C_0603_1608Metric",85.344000,-80.010000,180.000000,top
"C6","100nF","C_0603_1608Metric",117.955923,-67.155923,0.000000,top
"C7","100nF","C_0603_1608Metric",207.264000,-97.078800,90.000000,top
"C8","100nF","C_0603_1608Metric",188.923423,-96.365923,180.000000,top
"C9","100nF","C_0603_1608Metric",105.255923,-64.133423,-90.000000,top
